Begin time,End time,Eclipse type,Greatest eclipse time,EARTH_Position_X,EARTH_Position_Y,EARTH_Position_Z,EARTH_Velocity_X,EARTH_Velocity_Y,EARTH_Velocity_Z,MOON_Position_X,MOON_Position_Y,MOON_Position_Z,MOON_Velocity_X,MOON_Velocity_Y,MOON_Velocity_Z,VENUS_Position_X,VENUS_Position_Y,VENUS_Position_Z,VENUS_Velocity_X,VENUS_Velocity_Y,VENUS_Velocity_Z,SUN_Position_X,SUN_Position_Y,SUN_Position_Z,SUN_Velocity_X,SUN_Velocity_Y,SUN_Velocity_Z
2039 Dec 01 07:03:33,2039 Dec 01 13:18:39,Total,2039 Dec 01 09:20:11,46276183.08210908,139991286.22751814,-11400.187422570243,-28.7573176666422,9.237891086051647,-0.0015106398101001682,46412780.8740822,140372791.72467238,-12715.223042764821,-29.66663106705396,9.577994534875893,0.08835810353624496,-87237686.49315844,62473521.62137723,5893018.25889351,-20.524608222708235,-28.66375690190248,0.7895545757634211,0.0,0.0,0.0,0.0,0.0,0.0
2040 May 27 01:40:08,2040 May 27 06:39:09,Partial,2040 May 27 02:41:07,-54176214.68583402,-141558534.40109214,11675.035657674076,27.34044906968851,-10.756024976951561,0.0017708038866269796,-54314534.90638904,-141893575.67664033,9077.624901416968,28.352594294382058,-11.139749764358246,-0.09773175927220235,39362362.2908831,100433013.64358236,-888400.7447654094,-32.72173312728246,12.612940415460365,2.061446832325356,0.0,0.0,0.0,0.0,0.0,0.0
2040 Nov 19 10:21:59,2040 Nov 19 15:44:05,Partial,2040 Nov 19 11:40:49,72358913.57909755,128781321.1045339,-10903.42276952101,-26.443832374276756,14.479691910455198,-0.001985059542476252,72558286.19795983,129117014.04989617,-7559.147286283735,-27.28902209982086,15.029151374161277,0.0909686152802016,107383048.29931498,-15953021.590016903,-6414880.416589726,4.990481100539063,34.485818615193146,0.18681011611250042,0.0,0.0,0.0,0.0,0.0,0.0
2041 Apr 17 04:57:25,2041 Apr 17 07:50:24,Penumbral,2041 Apr 17 04:57:25,-129529610.2763643,-76129624.15014239,7503.083719458745,14.616705917853354,-25.788751526450497,0.0030375588553836225,-129868820.55927472,-76324378.4100382,16629.22597058768,15.151727628093369,-26.64065869626588,-0.08735193530571073,-67660031.16404742,-84474122.15474144,2740226.489094498,27.104163528564275,-22.06958809480841,-1.8676115625516279,0.0,0.0,0.0,0.0,0.0,0.0
2041 May 16 17:11:32,2041 May 16 19:49:20,Penumbral,2041 May 16 17:11:32,-77775765.56683896,-129769656.1198127,11516.801085755293,25.072528310702317,-15.42212296328415,0.0020911415702060095,-77975895.6264385,-130093125.58335288,3260.6461162805685,25.976327114778424,-15.924628583229035,-0.08920798857435473,15558991.827309353,-107621836.07325418,-2379648.7441320396,34.443211296493864,4.882872329121709,-1.9198809542592186,0.0,0.0,0.0,0.0,0.0,0.0
2041 Oct 10 11:11:07,2041 Oct 10 13:55:43,Penumbral,2041 Oct 10 11:11:07,139631440.55458558,52532777.36568525,-5677.4368434023645,-10.963641870603952,27.766505181389512,-0.0033073507706845536,139971135.5388141,52656087.875272155,-14555.114548501757,-11.306566114970305,28.79667176326186,0.09236213129421583,-95863681.54986608,48223939.789439365,6194692.47956018,-15.886947102719532,-31.46848581578879,0.483221255061906,0.0,0.0,0.0,0.0,0.0,0.0
2041 Nov 08 21:48:44,2041 Nov 09 00:30:57,Penumbral,2041 Nov 08 21:48:44,95119604.98472299,113451180.67328489,-10372.620522051606,-23.299687474485122,19.025492607454456,-0.002468549346058235,95361341.80950966,113730742.58501998,-2301.393040554176,-24.078642553707063,19.74901175983064,0.0934667713566035,-100589855.35304494,-38650180.30830669,5271053.158860278,12.334364017099794,-32.86706231775877,-1.1641993818476366,0.0,0.0,0.0,0.0,0.0,0.0
2042 Apr 06 07:11:22,2042 Apr 06 12:52:09,Partial,2042 Apr 06 08:33:40,-141008019.353973,-50542389.93800194,5603.509167161665,9.575081590374072,-28.149252927712414,0.0032826855428615084,-141392514.39797562,-50670975.811297536,10585.072732846666,9.892998931950357,-29.065712554948508,-0.08576761982625322,23326304.60869691,105215202.03125836,103133.19462887812,-34.3118025691727,7.403273512584111,2.081484887429408,0.0,0.0,0.0,0.0,0.0,0.0
2042 Sep 30 03:28:16,2042 Sep 30 08:19:48,Partial,2042 Sep 30 04:29:41,147174542.3802463,26964159.349391136,-3806.238559766245,-5.843065249048653,29.1861579026894,-0.003570781746358602,147527571.56599924,27020097.73814047,-8488.611483525043,-6.0252531156892655,30.2675593429705,0.09706581682454742,108471796.85614492,2081568.3787009132,-6229282.52214705,-0.8114723175709858,34.85843504352001,0.5268869558798468,0.0,0.0,0.0,0.0,0.0,0.0
2043 Mar 26 08:02:03,2043 Mar 26 14:10:01,Total,2043 Mar 26 10:16:29,-147539671.94288188,-23045205.165679626,3466.0313283896144,4.121078293504061,-29.53951833056278,0.0035471286954667403,-147937692.9234468,-23097262.027328607,3762.867309079873,4.222075968345016,-30.51440491299631,-0.08706409511659079,29995321.502050366,-104549100.7865487,-3170663.787447322,33.44630532118136,9.535702980652681,-1.7982817602197796,0.0,0.0,0.0,0.0,0.0,0.0
